call_id,customer_id,sequence_id,timestamp,amount,merchant_category,location,is_online,is_international,hour_of_day,day_of_week,is_fraud
call_001,CUST_001,1,2025-12-09T09:29:56.543604,51.37,restaurant,Chicago,0,0,21,0,1
call_001,CUST_001,2,2025-12-10T23:29:56.543604,29.65,restaurant,Chicago,0,0,1,1,1
call_001,CUST_001,3,2025-12-12T12:29:56.543604,52.04,restaurant,Houston,0,0,18,0,1
call_001,CUST_001,4,2025-12-13T13:29:56.543604,133.01,gas_station,Houston,0,0,22,2,1
call_001,CUST_001,5,2025-12-15T01:29:56.543604,110.33,grocery,Houston,0,0,23,3,1
call_001,CUST_001,6,2025-12-17T00:29:56.543604,50.33,gas_station,Chicago,1,0,2,1,1
call_001,CUST_001,7,2025-12-18T05:29:56.543604,24.19,restaurant,Chicago,0,0,12,6,1
call_001,CUST_001,8,2025-12-19T15:29:56.543604,16.15,gas_station,Chicago,0,0,7,5,1
call_001,CUST_001,9,2025-12-21T13:29:56.543604,15.73,restaurant,Houston,1,0,17,1,1
call_001,CUST_001,10,2025-12-22T17:29:56.543604,12.96,gas_station,Chicago,0,0,22,5,1
call_001,CUST_001,11,2025-12-24T08:29:56.543604,15.07,utilities,Chicago,0,0,8,4,1
call_001,CUST_001,12,2025-12-25T19:29:56.543604,15.12,utilities,Houston,0,0,23,4,1
call_001,CUST_001,13,2025-12-27T08:29:56.543604,7.86,utilities,Chicago,0,0,14,3,1
call_001,CUST_001,14,2025-12-29T00:29:56.543604,15.43,grocery,Chicago,0,0,13,2,1
call_001,CUST_001,15,2025-12-30T04:29:56.543604,41.17,utilities,Chicago,0,0,22,5,1
call_001,CUST_001,16,2025-12-30T06:29:56.543604,384.91,travel,Phoenix,1,1,1,2,1
call_001,CUST_001,17,2025-12-30T06:59:56.543604,398.95,travel,Boston,1,1,3,0,1
call_001,CUST_001,18,2025-12-30T07:29:56.543604,145.09,online_retail,Boston,1,0,4,0,1
call_001,CUST_001,19,2025-12-30T07:59:56.543604,122.55,electronics,Phoenix,1,1,1,5,1
call_001,CUST_001,20,2025-12-30T08:29:56.543604,233.44,online_retail,Phoenix,1,1,3,1,1
call_002,CUST_002,1,2025-12-09T09:29:56.544269,47.75,utilities,New York,0,0,3,0,0
call_002,CUST_002,2,2025-12-11T02:29:56.544269,39.64,grocery,New York,1,0,3,0,0
call_002,CUST_002,3,2025-12-12T11:29:56.544269,12.67,restaurant,Los Angeles,0,0,7,1,0
